
🇨🇳央视频道,#genre#
🇨🇳卫视频道,#genre#
东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173251%2Cfmgott_1000010000000000000990001%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQqDMBBE_ybHoDHWesjJUigUW9D2WtZkTcVobKJC_74qHnpaZnlvmNGBxMtJHCDiLOEpJEnIVRwdFat5nKSB5JWqeEo8fnIrGJFgTNPr3KpVexbZKwwZjQPK1sNIuRaeDWgRbGw-dRW6PSxigW5uJArlazqDp6C1Qw1jY3t6N_B9OLMjBMt9XD8ZQ8Y1lODb5UHe4DPbDeBQXa3eOFGD8UgGkC1ozKHDP-_m1DLiB236YkbtAAAA
北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227246/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173319%2Cfmgott_1000010000000000000990066%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHBgrEeuhJY2Ji0AT0apbtUgmFYgsk_r1gOHjazOa9yYwekM5HtYvjLENMasIqrSMppaA9yoQ0iVRixQK9c6cEQ7C26U3u9Ko9isMzjgXPIi7WI1i5Fp4sGBX92HzqKvJbWMSC_NwgKR1qPkPgYIwnA2Pjen6z8Ll7uyGMym1cP1nLxjWUENrlwV4QDq4bwJO-OPPjVA02EBsAWzCUQ0d_3tXrZcQXwQDfQu0AAAA
天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227205/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173322%2Cfmgott_1000010000000000000990063%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHpiCgHnrSmJgYNAG9moEulVAotkDi3wuGg6fNbN6bzOBQ0vkoo_02iSkJsItFtBMbCFUEaqOiRFBV7ME8vVMrQ1bCmLrTqVWL9sgOzyAIeSx4uJyQ5UvhyUBL8WPTsS3IrWEWM3JTXZJUvuITPIfWjjSG2nb8ZvC5O7MijPJ1XDcaw4Yl5PDN_GAv-INtezhSF6t_nKxgPLEeZQNNKVr6865OzSO-F3_Z9O0AAAA
河北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227063/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173324%2Cfmgott_1000010000000000000990004%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHBipaeuhJY2Ji0AT0apZ2qYRCsQUS_14gHDxtZvPeZAYPCi8nmfBE6IiLsjywRIkyTUFw4GIXY5TyipGAn8xJRhRYW3cmc3rRnvnxFceM7iPKlsNIsRSeLRgZrWw2tiX6Lcxijn6qFUodKjpBoGCMRwND7Tp6t_B9eLshBIttXDdaS4YlFBCa-UHeEI6u7cGjvjqzcrICG5D0oBowmEGLf97N63nED04fAyTtAAAA
山西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227258/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173326%2Cfmgott_1000010000000000000990072%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHBlZAOfSkMTExaAJ6NUu7VEKh2AKJfy8QDp42s3lvMoNDSZeTSHYK9kkEQZwmUSkPqapCCVUJO4hVFCHz9MmsACbRmLrTmVWL9syPrzAEHgcclgOsWArPBrUIVjYb25LcFmYxJzfVkoTyFZ_Qc9Takcahth2_G_w-nNkQRsU2rhuNYcMSCvTN_GBv9Efb9uhIXa1eOVGh8cR6lA1qyrClP-_m1DziB_6v-WLtAAAA
辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227141/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173331%2Cfmgott_1000010000000000000990008%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OUQuCMBSF_80eh43EfNiTEQRhQdZrHLe7JU5nmwX9-1R86OlyLt93OGOAouNe5kg0iFCnxmwh8p1OgS3VaUYiV5lhkV6ll4IpONf0tvR61u7X4rHZCJ4mXMxHsGouPDhYmSxs-e5qCmuYxCuFT6NI6mj4B5HD2kAWY-N7fnH43oJbEUbVOq5_O8fGOVSI7fRgT8TCdwMC6ZO3CycNXCQ2QLWwVKKjP-8c9DTiB6NmyXXtAAAA
吉林卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173333%2Cfmgott_1000010000000000000990053%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OwQ6CMBBE_6bHBoqCPfSkMTExaAJ6NUu7VEKh2AKJfy8lHDxtZvPeZEYHEi8nkXKWqiTNOCa4wzTimCFnLEsONWcRVMTjJ7eCEQnGNL3OrQraszi-4pjRfURZOIyUofBsQItoZfOpq9BtYRELdHMjUShf0xk8Ba0dahgb29O7ge_DmQ0hWG7j-skYMoZQgm-XB3mDP9puAIfqavXKiRqMRzKAbEFjDh3-eTenlhE_AwOupe0AAAA
黑龙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173336%2Cfmgott_1000010000000000000990061%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OywqDMBBF_ybLoNE-XGRlKRSKLWi7LeNkTMVobKJC_74qLroa7nDO5Q4OkC4nGeIRyzhJogSrOEoUKCojgRgfYF-GFTFPn8xKwRCMqTudWbVozzx9haHgu4CL5QhWLIVnA1oGK5uNbUluC7OYk5tqJKl8xSfwHLR2pGGobcfvBr4PZzaEUbGN60Zj2LCEAnwzP9gbfGrbHhypq9UrJyswnlgP2ICmDFr6825OzSN-hImqse0AAAA
东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227059/index.m3u8?rrsip=ott.fj.chinamobile.com&zoneoffset=0&servicetype=1&icpid=&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%2C10000127420524%2C183.251.240.57%2C20240312173338%2Cfmgott_1000010000000000000990002%2C10001026346178%2C-1%2C0%2C1%2C-1%2C%2C2%2C100001%2C%2C%2C2%2C%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAE2OUQuCMBSF_80ex7YS8WFPRhCEBVmvcXTXJU5XmwX9-1R86OlyLt93OGNATYedlhmoylKRJCS2mZSZSDcJRAraSlJGskivwmvFajjXDrbwZtZul_wupeKJ4Go-ipVz4d7BarGwxbuvKKxhEi8UPm1N2sSGfxA5rA1kMbZ-4GeH7zW4FWFUruOGt3NsnEOJ2E0P9kDMff9EIHP0duF0AxeJPVF3sFSgpz_vFMw04geYr3Ei7QAAAA
